id,title,slug,description,required_skills,expected_budget,expected_duration,attachments,client_id,specialization_id,status,type,location_type,longitude,latitude,address,created_at,updated_at
912,Sales Assistant in accounting,,We are seeking a career oriented individual ready to fulfil the position of Sales Assistant in accounting. The incumbent will report to the General Accountant.,,100.0,10,,1,1,,open,remote,,,,,
913,Pharmacist,,The Pharmacist is responsible for MSF pharmacy stock ensures provision of drugs for the rural health ambulatories and policlinics included in the project. The incumbent will work in Vardenis office of Mdecins Sans Frontires-Belgium MSF.,,100.0,10,,1,1,,open,remote,,,,,
914,Atlas Associate,,Under the guidance of the Portfolio Coordinator and direct supervision of Programme Management Specialist the Atlas Associate supports effective delivery of the CO programme in assigned portfolio by entering and managing data in Atlas and supporting portfolio programme implementation consistent with UNDP rules and regulations. The Atlas Associate works in close collaboration with the Implementing Partners Portfolio Coordinators Specialists Associates Operations Team programme staff in other UN Agencies UNDP HQs staff multi-lateral and bi-lateral donors and civil society.,,100.0,10,,1,1,,open,remote,,,,,
915,Head Engineer -Mechanic of food (canning) industry,,A cannery plant is seeking an Engineer- Mechanic for planning organizing and technical maintenance of productions.,,100.0,10,,1,1,,open,remote,,,,,
916,Manager  (Head) of  food production,,A food production manufacturing factory is looking for a Manager.,,100.0,10,,1,1,,open,remote,,,,,
917,Accountant,,An international consulting company is looking for a dedicated and responsible person ready to fulfil the position of Accountant to do the accounting and financial consulting of the company.,,100.0,10,,1,1,,open,remote,,,,,
918,Support System Administrator,,Administrating of Linux Unix or Windows based servers.,,100.0,10,,1,1,,open,remote,,,,,
919,Auditor,,An international consulting company is looking for a person responsible and dedicated to his/her work and the company to do the auditing of the company.,,100.0,10,,1,1,,open,remote,,,,,
920,Project Manager SEO,,As a Project Coordinator you will be responsible for tasks such as meeting notes planning parts of the project communication to our development centers in Europe.  Overall Goal: Increase Search engine generated traffic on Lycos Sites.,,100.0,10,,1,1,,open,remote,,,,,
921,Developer Ad Technology,,To build up our Engineering Team in Armenia we are currently looking for motivated technical persons to take over a new position as a Developer. You will belong to a young and dynamic team working on the advertising system named DART Enterprise and its existing interfaces. You will work on very different projects like customisation of the system building of complex new interfaces further development of our reporting tools technical support to our Sales departments etc. During these projects you will also work together with your colleagues in different European countries.,,100.0,10,,1,1,,open,remote,,,,,
922,Senior Customer Care Manager,,To build up our European Sales Support Team in Armenia we are currently looking to recruit a Senior Customer Care Manager. In this position you will lead our Sales Support Operations based in Yerevan. This includes responsibility for the professional and effective management of our European client campaigns and customer requests as well as personnel leadership for a team of a relevant amount of people.,,100.0,10,,1,1,,open,remote,,,,,
923,Java/C++ Backend Developers,,The role requires dedicated and responsible Java C++ or PHP professionals. The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering architecture development and release. The candidate is required to work closely with the other technical members of Lycos teams.,,100.0,10,,1,1,,open,remote,,,,,
924,Senior Developers,,The role requires dedicated and responsible Java C++ or PHP professionals. The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering architecture development and release. The candidate is required to work closely with the other technical members of Lycos teams.,,100.0,10,,1,1,,open,remote,,,,,
925,JSP/Java/PHP Developers,,The role requires dedicated and responsible Java C++ or PHP professionals. The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering architecture development and release. The candidate is required to work closely with the other technical members of Lycos teams.,,100.0,10,,1,1,,open,remote,,,,,
926,Java/C++/PHP Software Developers,,The role requires dedicated and responsible Java C++ or PHP professionals. The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering architecture development and release. The candidate is required to work closely with the other technical members of Lycos teams.,,100.0,10,,1,1,,open,remote,,,,,
927,C/C++ Software  Developers,,The role requires dedicated and responsible Java C++ or PHP professionals. The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering architecture development and release. The candidate is required to work closely with the other technical members of Lycos teams.,,100.0,10,,1,1,,open,remote,,,,,
928,PHP Software Developers,,The role requires dedicated and responsible Java C++ or PHP professionals. The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering architecture development and release. The candidate is required to work closely with the other technical members of Lycos teams.,,100.0,10,,1,1,,open,remote,,,,,
929,Java Software Developers,,The role requires dedicated and responsible Java C++ or PHP professionals. The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering architecture development and release. The candidate is required to work closely with the other technical members of Lycos teams.,,100.0,10,,1,1,,open,remote,,,,,
930,Monetary Economist,,The International Monetary Fund Office in Georgia is searching for a Monetary Economist. The position involves working in a team of four people headed by the IMF Resident Representative which monitors and evaluates economic developments in Georgia. The economist would be expected to monitor closely developments in the financial sector including in the National Bank of Georgia commercial banks and financial markets. The position involves daily contact with senior officials in the National Bank of Georgia as well as with commercial bankers and other government departments. The initial appointment will be for one year subject to a strong performance during an initial 2-month probationary period.,,100.0,10,,1,1,,open,remote,,,,,
931,Software Engineer,,Candidate will be involved in the architecture design development and maintenance of networking systems and middleware for multiplayer gaming on Pocket PC and cell phone wireless devices delivering flexible and scalable solutions. This individual will work in a team setting to help with the specification and development of specialized custom servers application servers and client interfaces.,,100.0,10,,1,1,,open,remote,,,,,
932,Administrator,,- Check in/out the guests; - Attend to the guests' Front Desk needs; - Handle telephone calls; - Make reservations; - Perform other duties as required.,,100.0,10,,1,1,,open,remote,,,,,
933,Translator/Technical Assistant,,Centre for Social and Psychological Aid Ndoba a non-governmental organization seeks to recruit a qualified person for the position of Translator/Technical Assistant.,,100.0,10,,1,1,,open,remote,,,,,
934,Systems Administrator,,BearingPoint Inc. Barents Group LLC is looking for a motivated and experienced individual to join USAIDs Commercial Law and Economic Reform Program CLERP as a Systems Administrator. The primary role of the Systems Administrator is to support the projects IT systems including the installation and maintenance of systems at counterpart locations.,,100.0,10,,1,1,,open,remote,,,,,
935,Graphic Designer,,Thomas Twining teahouse is looking for a dedicated person to fulfill the position of a Graphic Designer.,,100.0,10,,1,1,,open,remote,,,,,
936,Community Health Education Technical Coordinator for Pre-Service,,As a member of the Pre-Service Training core staff the Community Health Education Technical Coordinator is responsible for the design implementation and evaluation of the technical component of Pre-Service Training.,,100.0,10,,1,1,,open,remote,,,,,
937,Community Integration and Culture Coordinator for Pre-Service,,As a member of the Pre-Service Training PST team the Community Integration and Culture CIC Coordinator is responsible for design implementation and evaluation of the CIC competencies and implementation of CIC training opportunities for all Peace Corps Trainees.,,100.0,10,,1,1,,open,remote,,,,,
938,Community and Business Development Technical Coordinator for,,As a member of the Pre-Service Training PST core staff the Community and Business Development CBD Technical Coordinator is responsible for the design implementation and evaluation of the technical component of PST.,,100.0,10,,1,1,,open,remote,,,,,
939,Environmental Education Technical Coordinator for Pre-Service,,As a member of the Pre-Service Training PST core staff the Environmental Education EE Technical Coordinator is responsible for the design implementation and evaluation of the technical component of Pre-Service Training.,,100.0,10,,1,1,,open,remote,,,,,
940,TEFL Technical Coordinator for Pre-Service Training,,As a member of the Pre-Service Training PST core staff the TEFL Technical Coordinator is responsible for the design implementation and evaluation of the technical component of PST.,,100.0,10,,1,1,,open,remote,,,,,
941,Network Administrator,,Xalt LLC is seeking a motivated night-time network administrator. As Network Administrator you will be responsible for overall network and systems monitoring and diagnosis answering phone calls and providing technical support to companys customers during night hours. You will work in group of three network administrators by shifts defined by management.,,100.0,10,,1,1,,open,remote,,,,,
942,System Administrator,,Xalt LLC is seeking motivated and experienced System Administrator. As System Administrator you will manage and administer Linux based hosting servers on the daily bases create detailed system design and functional specifications as well as user specifications and FAQs answer customers phone calls and solve technical problems by phone train companys support staff.,,100.0,10,,1,1,,open,remote,,,,,
943,Travel Expert,,The company seeks a Treavel Expert with experience booking local and international travel arrangements. Ideal candidate is detailed oriented organised and has some previous financial services experience in an administrative capacity.,,100.0,10,,1,1,,open,remote,,,,,
944,Sales and Marketing Manager,,Xalt LLC is seeking a motivated and experienced Sales and Marketing Manager. The Sales and Marketing Manager will be responsible for overall marketing of services provided by the company continually evaluate and timely adjust the marketing strategies and plans create and develop the marketing policy develop and coordinate media coverage sales campaigns and promotional materials.,,100.0,10,,1,1,,open,remote,,,,,
945,Tour Guide,,A short term 5 months position of a Tour Guide for the 2005 summer season with possible extension.,,100.0,10,,1,1,,open,remote,,,,,
946,Senior Lawyer,,Constanta Foundation is pleased to announce a vacancy for the position of Senior Lawyer.,,100.0,10,,1,1,,open,remote,,,,,
947,English Language Teacher (native speaker),,"""VLT"" Foreign Language Teaching Center is looking for a motivated and experienced native speaking English language teacher to work with groups.",,100.0,10,,1,1,,open,remote,,,,,
948,Journalist,,Arision LTD is looking for a motivated self-driven highly professional candidate for the position of Journalist.,,100.0,10,,1,1,,open,remote,,,,,
949,Marzes' Sales Supervisor,,We are seeking a Sales Supervisor to plan and supervise the work of salesmen.,,100.0,10,,1,1,,open,remote,,,,,
950,Senior .NET Developer,,LinkGard Systems LLC is seeking a highly experienced Senior Software Engineer that can design and develop Microsoft Applications. We need ethical energetic and highly motivated individuals with full software development life-cycle experience.,,100.0,10,,1,1,,open,remote,,,,,
951,Information Technology Officer,,The role of the IT Officer is to plan maintain administer and develop EF Yerevan office computer telecommunications and information systems and facilities.,,100.0,10,,1,1,,open,remote,,,,,
952,Python Developers,,We are looking for experienced Python Developers for the development of an internet application.,,100.0,10,,1,1,,open,remote,,,,,
953,Hardware & Systems Experts,,We are seeking Hardware & System Experts to control compliance to technical requirements of computer equipment with pre-installed software supplied to schools and quality of accompanying services LAN installation in frames of Computer Revolving Scheme.,,100.0,10,,1,1,,open,remote,,,,,
954,Secretary,,The position requires a dedicated and responsible person.,,100.0,10,,1,1,,open,remote,,,,,
955,Marketing Manager,,On behalf of its partner Ameria cjsc is seeking an individual to fill the vacancy of Marketing Manager. The Marketing Manager performs the company's marketing and PR functions and manages the company's sales and development functions provides highly responsible and technically complex staff assistance to the CEO. The work requires a high level of proficiency in marketing sales and PR as well as general management supervisory and administrative skills.,,100.0,10,,1,1,,open,remote,,,,,
956,Product Manager,,We are looking for enrty level Product Manager. Position is available as a summer work and will be paid by the company.,,100.0,10,,1,1,,open,remote,,,,,
957,Receptionist,,The position requires a dedicated and responsible person.,,100.0,10,,1,1,,open,remote,,,,,
958,National Expert on Vulnerability Assessment Methodology,,Under the overall supervision of UNFPA Assistant Representative and in close cooperation with the JP Working Group and International Expert the incumbent will develop a Methodology for Baseline Vulnerability Assessment including design of questionnaires sampling and instruction on how to organize fieldwork.,,100.0,10,,1,1,,open,remote,,,,,
959,Translator/Interpreter,,Our agency seeks to recruite a qualified person for the position of Translator/Interpreter.,,100.0,10,,1,1,,open,remote,,,,,
960,National Expert on Study of Vulnerability in Armenia,,Under the overall supervision of UNFPA Assistant Representative and in close cooperation with the JP Working Group and International Expert the incumbent will develop conceptual approach and key definitions of vulnerability in Armenia study the typology of vulnerability identify the main groups of vulnerable population and communities come up with conclusions and recommendations on designing of Baseline Vulnerability Assessment.,,100.0,10,,1,1,,open,remote,,,,,
961,Web Designer,,We are looking for Website Designers living in Yerevan Armenia.,,100.0,10,,1,1,,open,remote,,,,,
962,Java Senior Developer/ Architect,,A leading American software development company is actively looking for Java developers for complex and long-term projects. The position entails working with Sun and IBM products portal solutions the latest Java technologies and Documentum products  the world leader in EDMS solutions. The projects will deal with large well-known customers.,,100.0,10,,1,1,,open,remote,,,,,
963,Senior Quality Assurance Engineer,,An American software development company is actively looking for Quality Assurance Engineers for complex and long-term projects. The position entails working with Microsoft products. The projects will deal with large well-known customers.,,100.0,10,,1,1,,open,remote,,,,,
964,Java Developer,,A leading American software development company is actively looking for Java developers for complex and long-term projects. The position entails working with Sun and IBM products portal solutions the latest Java technologies and Documentum products  the world leader in EDMS solutions. The projects will deal with large well-known customers.,,100.0,10,,1,1,,open,remote,,,,,
965,Analyst/ Project Developer,,The Institute for Honesty and Integrity seeks a qualified person with analytical mind for the position of Analyst/Project Developer.,,100.0,10,,1,1,,open,remote,,,,,
966,C#.NET Senior Developer/ Architect,,An American software development company is actively looking for C#.NET developers for complex and long-term projects. The position entails working with Microsoft products. The projects will deal with large well-known customers.,,100.0,10,,1,1,,open,remote,,,,,
967,Quality Assurance Engineer,,An American software development company is actively looking for Quality Assurance Engineers for complex and long-term projects. The position entails working with Microsoft products. The projects will deal with large well-known customers.,,100.0,10,,1,1,,open,remote,,,,,
968,Assistant to the Controller of Finance and Administration (CFA),,The CFA Assistant is the key person in the day-to-day management of administration and finance in the office.,,100.0,10,,1,1,,open,remote,,,,,
969,Capital Logistician,,The Capital Logistician is a member of the capital team and is responsible for the proper functioning of comprehensive logistical activities and program. Support within the capital and provide technical and supply support to the project.,,100.0,10,,1,1,,open,remote,,,,,
970,Capital Secretary/Translator,,The Secretary/Translator is the key person in the day-to-day secretarial work and translations in the project administrative office.,,100.0,10,,1,1,,open,remote,,,,,
971,Resource Director,,The position will be responsible for bringing the best of the best into the company and ensure that the staff is committed to creating a high quality product as efficiently as possible.,,100.0,10,,1,1,,open,remote,,,,,
972,Part Time Accountant,,The Accountant will be responsible for all transactions connected with program administrative expenses and payroll monthly reporting to the Executive Director Founder and local authorities assisting program staff in preparing budget and operating it. This position is under the supervision of the Executive Director.,,100.0,10,,1,1,,open,remote,,,,,
973,Automated Test Engineer,,The primary objective of this position is to ensure the quality of CQG products by following and enhancing the SQA Software Quality Assurance processes.,,100.0,10,,1,1,,open,remote,,,,,
974,Pharmacist,,We are looking for a Pharmacist to work for a pharmacy company.,,100.0,10,,1,1,,open,remote,,,,,
975,Quality Specialist,,The company installs the ISO 9001 & HAACP quality systems and requires a Quality Specialist. Under the supervision of Quality Manager the specialist is to supervise the successful installation of the international standards within the company.,,100.0,10,,1,1,,open,remote,,,,,
976,Proactive Sales Manager,,The incumbent will be responsible for identifying developing and managing accounts new clients within specific segments markets or geographical territories on behalf of one or more hotels.,,100.0,10,,1,1,,open,remote,,,,,
977,Accountant,,General accounting financial reporting etc.,,100.0,10,,1,1,,open,remote,,,,,
978,Local Information Officer,,The Local Information Officer will be based in Alma-Ata with occasional travel to Kirgizia and Tajikistan. The incumbent will provide support to the Consortium in developing the communication products of the project and in liaising with Local Information Providers managed by the EC Delegations and other Tacis stakeholders. The Local Information Officers will be responsible for providing any support and assistance as requested by the Contractor or the Team Leader of the project. To ensure cost-effectiveness of resources activities will be set and agreed between the Team leader and the local information officers on a monthly basis and reviewed on a weekly basis.,,100.0,10,,1,1,,open,remote,,,,,
979,Delphi Programmer,,We are looking for Delphi programmers for complex and long-term projects. Our company concentrates on development of Distributed information systems for wide range of well-known customers.,,100.0,10,,1,1,,open,remote,,,,,
980,Software Developer/ Programmer,,Development of programs for business applications.,,100.0,10,,1,1,,open,remote,,,,,
981,Manager,,We are seeking a dedicated active enthusiastic person with great sense of responsibility ready to fulfil the position of a Manager.,,100.0,10,,1,1,,open,remote,,,,,
982,Personal Driver,,The position requires a dedicated and responsible person.,,100.0,10,,1,1,,open,remote,,,,,
983,Programmer (Developer),,The job requires Desktop Application Developers.,,100.0,10,,1,1,,open,remote,,,,,
984,Senior Developer(s)/ Software Engineers,,LinkGard Systems LLC is seeking highly experienced Senior Software Engineers four engineers in total that can design and develop web-based J2EE applications. We need ethical energetic and highly motivated individuals with full software development life-cycle experience.,,100.0,10,,1,1,,open,remote,,,,,
985,QA engineer at Lycos Test Center,,The QA Department at Lycos Armenia is responsible for complete testing for Lycos products and performs a wide range of testing- like functional stress load installation UI compatibility white-box backend etc. We are looking for QA Engineers to work as a part of our testing team searching for investigating reporting and tracking defects. If you love testing is a quick learner a great team player and able to work independently this is job is for you.,,100.0,10,,1,1,,open,remote,,,,,
986,Receptionist,,The position requires a dedicated and responsible person interested in acquiring relevant skills and gaining work experience in an international organization.,,100.0,10,,1,1,,open,remote,,,,,
987,Water and Wastewater Specialist,,Supervision and monitoring of technical issues design construction operation & maintenance and so on of water and wastewater system in frame of Municipal Water and Wastewater Project MWWP.,,100.0,10,,1,1,,open,remote,,,,,
988,Programmes Coordinator,,The Programmes Coordinator will work under the direct supervision of Executive Director.,,100.0,10,,1,1,,open,remote,,,,,
989,Water Programme Manager,,The Water Programme Manager will work under the direct supervision of Executive Director.,,100.0,10,,1,1,,open,remote,,,,,
990,Assistant to the Executive Director,,Under the direct supervision of ED the Assistant will have the responsibility for a variety of tasks essential to maintaining the efficient operation of the REC Caucasus ED Office. The post requires diplomacy discretion and the ability to plan a complex range of duties in a constructive and often autonomous manner.,,100.0,10,,1,1,,open,remote,,,,,
991,Information Programme Assistant,,Under the direct supervision of Executive Director and the Information Programme Manager the Information Programme Assistant is responsible for collection processing and systematization of environmental information.,,100.0,10,,1,1,,open,remote,,,,,
992,IT Specialist/ System Administrator,,Armex is seeking to hire a dedicated and responsible person to manage its trading system as well as implement other IT related tasks on a permanent basis. Some initial trading system specific training will be provided.,,100.0,10,,1,1,,open,remote,,,,,
993,Environmental Education (EE) Technical Coordinator,,As a member of the Pre-Service Training PST staff the EE Technical Coordinator is responsible for the design implementation and evaluation of the technical component of Pre-Service Training.,,100.0,10,,1,1,,open,remote,,,,,
994,Community & Business Development (CBD)Technical Coordinator,,As a member of the PST staff the CBD Technical Coordinator is responsible for the design implementation and evaluation of the technical component of Pre-Service Training.,,100.0,10,,1,1,,open,remote,,,,,
995,Ticketing and Reservation Clerk,,The successful candidate will join a young team with the main responsibility for flight bookings and air ticket sales in town office and airport counter of the company.,,100.0,10,,1,1,,open,remote,,,,,
996,Salesperson / Sales & Marketing Representative,,Boomerang Software LLC is currently seeking for committed individuals to fill the position of Salesperson / Sales & Marketing Representative.,,100.0,10,,1,1,,open,remote,,,,,
997,Administrative Assistant,,Under the direct supervision of the General Director the Administrative Assistant will be responsible for a variety of tasks essential to maintaining efficient office operation. This position requires ability to plan a complex range of duties in a constructive and autonomous manner.,,100.0,10,,1,1,,open,remote,,,,,
998,Senior or Intermediate Software Engineer,,Professional software developer involved in the design and the implementation of multiple components of multiple projects.,,100.0,10,,1,1,,open,remote,,,,,
999,Livelihoods Programme Officer,,"Provide programme & policy work and technical input in the Applied arts development and sheep breeding programme"".",,100.0,10,,1,1,,open,remote,,,,,
1000,Sales & Marketing Specialist,,Under the direct supervision of the Commercial Director the Sales & Marketing Specialist will be responsible for a variety of tasks essential to promote the export of the company's products.,,100.0,10,,1,1,,open,remote,,,,,
1001,Software Development Manager,,Management and hands-on technical leadership of a team of up to 30 people working concurrently on multiple components of multiple projects.,,100.0,10,,1,1,,open,remote,,,,,
1002,Program Assistant,,The Program Assistant will assist in the administration of the Civil Society Network program read details below.,,100.0,10,,1,1,,open,remote,,,,,
1003,Web Designer,,Design of Web Sites creation of banners logos advertising clips etc.,,100.0,10,,1,1,,open,remote,,,,,
1004,Sales and Marketing Professional,,Market research & sales of trade refrigeration equipment all over the world. Finding & negotiating deals with potential buyers. Support & control of our brand representatives in different regions of the world.,,100.0,10,,1,1,,open,remote,,,,,
1005,Fleet Maintenance Supervisor,,The incumbent must ensure uninterrupted Company vehicles operation.,,100.0,10,,1,1,,open,remote,,,,,
1006,C/C++ Software  Developers,,The role requires dedicated and responsible Java C++ or PHP professionals. The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering architecture development and release. The candidate is required to work closely with the other technical members of Lycos teams.,,100.0,10,,1,1,,open,remote,,,,,
1007,Senior Developers,,The role requires dedicated and responsible Java C++ or PHP professionals. The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering architecture development and release. The candidate is required to work closely with the other technical members of Lycos teams.,,100.0,10,,1,1,,open,remote,,,,,
1008,Java Software Developers,,The role requires dedicated and responsible Java C++ or PHP professionals. The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering architecture development and release. The candidate is required to work closely with the other technical members of Lycos teams.,,100.0,10,,1,1,,open,remote,,,,,
1009,PHP Software Developers,,The role requires dedicated and responsible Java C++ or PHP professionals. The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering architecture development and release. The candidate is required to work closely with the other technical members of Lycos teams.,,100.0,10,,1,1,,open,remote,,,,,
1010,Native English Language Instructor,,We are expanding our Language Center activities and are looking for more qualified language specialists. Under the overall supervision of the Language Center Director the Language Instructor will develop and conduct language classes.,,100.0,10,,1,1,,open,remote,,,,,
1011,Project Manager SEO,,As a Project Coordinator you will be responsible for tasks such as meeting notes planning parts of the project communication to our development centers in Europe.  Overall Goal: Increase Search engine generated traffic on Lycos Sites.,,100.0,10,,1,1,,open,remote,,,,,
1012,Developer Ad Technology,,To build up our Engineering Team in Armenia we are currently looking for motivated technical persons to take over a new position as a Developer. You will belong to a young and dynamic team working on the advertising system named DART Enterprise and its existing interfaces. You will work on very different projects like customisation of the system building of complex new interfaces further development of our reporting tools technical support to our Sales departments etc. During these projects you will also work together with your colleagues in different European countries.,,100.0,10,,1,1,,open,remote,,,,,
1013,Support System Administrator,,Administrating of Linux Unix or Windows based servers.,,100.0,10,,1,1,,open,remote,,,,,
1014,Electricity Engineer,,Electrical service and maintenance of all the equipment and its supplements available at the plant.,,100.0,10,,1,1,,open,remote,,,,,
1015,Quality Assurance Supervisor,,Direction and Coordination of the Quality Assurance Dept. Responsible for the production quality Laboratory Line quality control etc.,,100.0,10,,1,1,,open,remote,,,,,
1016,Operations Manager,,MDF-Kamurj is currently looking to recruit an Operations Manager who has a key role in supervising MDF-Kamurj branch offices development and training the program staff designing new services monitoring program quality and performance.,,100.0,10,,1,1,,open,remote,,,,,
1017,Receptionist,,Cascade Capital Holdings CCH is looking for a motivated self-driven highly professional candidate for the position of Receptionist.  We are looking for well organized and hard working person able to work in a western-style office environment towards the achievement of team goals.,,100.0,10,,1,1,,open,remote,,,,,
1018,Project Manager,,"The Project Manager will work for ""Armenia-Improving the Energy Efficiency of Municiple Heating and Hot Water Supply"" Project. Under direct supervision of the National Project Coordinator the incumbent will ensure daily management of project ongoing activities.",,100.0,10,,1,1,,open,remote,,,,,
1019,Finance Assistant,,Finance Assistant serves as the principal Capital Grants Program Officer. Reporting to Senior Finance Advisor The Finance Assistant provides additional financial support to ASME Teams.,,100.0,10,,1,1,,open,remote,,,,,
1020,Customer Service Agent,,"The successful candidate will join a young team with the main responsibility for flight handling and administration of flights in Austrian Airlines airport office located at ""Zvartnots"" airport. The working hours include 3 nights 7 hours shifts. Transportation to/from airport included.",,100.0,10,,1,1,,open,remote,,,,,
1021,Marketing and PR Manager,,Ameria cjsc is seeking applications for the  position of Marketing and PR Manager.,,100.0,10,,1,1,,open,remote,,,,,
1022,Resource/ Software Development Director,,The position will be responsible for bringing the best of the best into the company and ensure that the staff is committed to creating a high quality product as efficiently as possible.,,100.0,10,,1,1,,open,remote,,,,,
1023,Food and Beverage Supervisor,,The F&B Supervisors main function is to promote and ensure guest satisfaction achieved through his/her ability to develop and maintain a strong team environment placing emphasis on associate satisfaction and delivery of prompt courteous correct service. The F&B Supervisor is accountable for sales and profit in his/her area. Work schedule is 40hrs/week 3 shifts flexible.,,100.0,10,,1,1,,open,remote,,,,,
1024,Receptionist,,"""Artuch"" Inc. is looking for a highly motivated self-confident and dedicated person for the position of Receptionist.",,100.0,10,,1,1,,open,remote,,,,,
1025,Landmine Public Awareness Specialist,,The National Expert on Mine Awareness will work under the supervision of the Project Manager.,,100.0,10,,1,1,,open,remote,,,,,
1026,Software Developer,,AccuSoft-AM LLC is looking for Software Developers with experience in multi-platform application design and development for expanding current team.,,100.0,10,,1,1,,open,remote,,,,,
1027,Chief Accountant Assistant,,Board of Directors of Caparol Georgia Ltd. is seeking a candidate to fill the position of Chief Accountant Assistant.,,100.0,10,,1,1,,open,remote,,,,,
1028,Data Analyst,,The Data Analyst will participate in data management and data analyses for various IT projects of the company. The position will be filled with a person with strong analytical and well-developed communication skills.,,100.0,10,,1,1,,open,remote,,,,,
1029,Software Developer 3,,The responsibilities of this position are focused on core software development tasks in Synergy International Systems Inc. This position will be filled by a Software Developer with a proven history of producing quality software product in a commercial setting with experience in all aspects of the software development process; including design implementation testing and delivery.,,100.0,10,,1,1,,open,remote,,,,,
1030,Software Developer 1,,The responsibilities of this position are focused on core software development tasks in Synergy International Systems Inc. This position will be filled by a Software Developer with a proven history of producing quality software product in a commercial setting with experience in all aspects of the software development process; including design implementation testing and delivery.,,100.0,10,,1,1,,open,remote,,,,,
1031,Project Manager,,The Armenian branch of a US-based software company is seeking to fill the position of a Project Manager. The responsibilities of this position are focused on assistance to the Senior Project Manager and Regional Representative in carrying out the monitoring and evaluation the project implementation procedures.,,100.0,10,,1,1,,open,remote,,,,,
1032,Software Developer 2,,The responsibilities of this position are focused on core software development tasks in Synergy International Systems Inc. This position will be filled by a Software Developer with a proven history of producing quality software product in a commercial setting with experience in all aspects of the software development process; including design implementation testing and delivery.,,100.0,10,,1,1,,open,remote,,,,,
1033,Administrative Secretary,,The Administrative Secretary will work for College of Health Sciences at AUA. The incumbent will provide general administrative and logistical support to the academic department and research center.,,100.0,10,,1,1,,open,remote,,,,,
1034,QA Engineer,,M-possible game development company in Yerevan is looking for a Quality Assurance Engineer.,,100.0,10,,1,1,,open,remote,,,,,
1035,Program Development Officer,,The Program Development Officer reports to the Executive Director of HFH-Armenia and is responsible for the support development and expansion of programmatic activities throughout Armenia.,,100.0,10,,1,1,,open,remote,,,,,
1036,"ASP.NET, C# Software Developers",,We look for qualified persons with disciplined mind and wide practical experience for the positions of Software Developer.,,100.0,10,,1,1,,open,remote,,,,,
1037,Medical Representative,,We are seeking a Medical Representative to work for a pharmaceutical company.,,100.0,10,,1,1,,open,remote,,,,,
1038,Information Manager,,We are loking for a dedicated person with good skills of communication and leadership ready to fulfil the position of Information Manager.,,100.0,10,,1,1,,open,remote,,,,,
1039,Senior Java Tester,,Broncoway is looking for highly experienced Java Developers for a long-term project. The job requires close interaction with the specification design team and traveling to the Belgium. The job might require an initial internship of about three months in Brussels. All candidates will need to undergo a test period of 15 days to three months for internship in Brussels. If the tests are successful their contracts will be turned into permanent contracts.,,100.0,10,,1,1,,open,remote,,,,,
1040,Senior J2EE Core Developer,,Broncoway is looking for highly experienced Java Developers for a long-term project. The job requires close interaction with the specification design team and traveling to the Belgium. The job might require an initial internship of about three months in Brussels. All candidates will need to undergo a test period of 15 days to three months for internship in Brussels. If the tests are successful their contracts will be turned into permanent contracts.,,100.0,10,,1,1,,open,remote,,,,,
1041,Network Systems Engineer,,The Network Systems Engineer has the responsibility to plan develop coordinate and implement cost effective solutions to keep the Wide Area Network and Local Area Network WAN and LAN environments available and scalable.,,100.0,10,,1,1,,open,remote,,,,,
1042,Customer Support Representative,,Xter.net is seeking a motivated and enthusiastic Customer Support Representative CSR with strong communication skills. The candidate will be trained before assuming his/her work responsibilities.,,100.0,10,,1,1,,open,remote,,,,,
1043,Manager of Foreign Relations Department,,We are seeking a Manager to work for a medical company.,,100.0,10,,1,1,,open,remote,,,,,
1044,Swatch Brand Manager,,We need a strong creative communicative person with good knowledge of management and marketing to work as a Swatch Brand Manager.,,100.0,10,,1,1,,open,remote,,,,,
1045,Monitoring and Evaluation Officer,,This position is responsible for designing and managing all monitoring evaluation and research efforts as part of Project NOVA. The Monitoring and Evaluation Officer is supervised by the Chief of Party.,,100.0,10,,1,1,,open,remote,,,,,
1046,Automated Test Engineer,,The primary objective of this position is to ensure the quality of CQG products by following and enhancing the SQA Software Quality Assurance processes.,,100.0,10,,1,1,,open,remote,,,,,
1047,Assistant Project Officer - Education-NOB,,Under the general supervision of the Programme Officer the Assistant Project Officer contributes to the design and implementation evaluation of the Education Programme within the Republic of Armenia.,,100.0,10,,1,1,,open,remote,,,,,
1048,Irrigation and Water Management Specialist,,Under the direct supervision of the CARD Rural Development Manager the Irrigation and Water Management Specialist is responsible for creating and implementing new and existing rural development projects and providing technical assistance. This position is located within CARDs Rural Development Department.,,100.0,10,,1,1,,open,remote,,,,,
